itl,UK Average Annual log percentage growth of Productivity (2008-2022)
TLC11,0.009297018
TLC12,0.002431237
TLC13,0.03065888
TLC14,-0.00245217
TLC21,0.014764292
TLC22,0.013730394
TLC23,0.009224175
TLD11,-0.006009548
TLD12,0.007304574
TLD33,0.011188824
TLD34,0.003570351
TLD35,0.008015939
TLD36,0.008460206
TLD37,0.007024225
TLD41,0.018054271
TLD42,0.004860962
TLD44,0.00929765
TLD45,0.004422395
TLD46,0.008579049
TLD47,0.011386944
TLD61,0.012741832
TLD62,0.001913674
TLD63,-0.001052374
TLD71,0.000880591
TLD72,-0.002937664
TLD73,0.016026773
TLD74,0.000707219
TLE11,-0.010085951
TLE12,0.006376811
TLE13,0.013596695
TLE21,0.001037094
TLE22,0.005303913
TLE31,0.002521694
TLE32,0.006252643
TLE41,0.008774007
TLE42,0.000139101
TLE44,0.008008378
TLE45,0.007173719
TLF11,-0.019248849
TLF12,0.004452267
TLF13,0.006098544
TLF14,-0.005975002
TLF15,-0.00332945
TLF16,0.001959307
TLF21,0.013402044
TLF22,-0.00132143
TLF24,0.006580837
TLF25,-0.003569095
TLF30,0.008214169
TLG11,0.013152957
TLG12,0.008686832
TLG13,0.003774463
TLG21,0.016947804
TLG22,0.001153132
TLG23,0.010989002
TLG24,0.004424018
TLG31,0.002679338
TLG32,-0.013531555
TLG33,-0.004591075
TLG36,0.00470537
TLG37,0.008991446
TLG38,0.00860277
TLG39,0.013795177
TLH11,7.07E-05
TLH12,0.006892489
TLH14,0.008290869
TLH15,0.010773064
TLH16,0.003708782
TLH17,0.005042549
TLH21,-0.005869799
TLH23,0.006272586
TLH24,-0.003655825
TLH25,0.009464584
TLH31,0.000853084
TLH32,-0.006052945
TLH34,0.0066705
TLH35,-0.014912161
TLH36,0.005644039
TLH37,0.005067981
TLI31,-0.009692471
TLI32,0.008600573
TLI33,0.011821017
TLI34,0.002105416
TLI41,-0.010199337
TLI42,-0.028986209
TLI43,0.014949758
TLI44,0.003733082
TLI45,0.003633304
TLI51,-0.015922754
TLI52,-0.01754143
TLI53,-0.011780273
TLI54,0.001682399
TLI61,-0.017149231
TLI62,0.013922412
TLI63,-0.012481547
TLI71,0.003796096
TLI72,-0.008966562
TLI73,-0.002754752
TLI74,-0.01496963
TLI75,-0.011487114
TLJ11,0.029401355
TLJ12,0.006688688
TLJ13,-0.002935834
TLJ14,0.000610794
TLJ21,0.021356792
TLJ22,0.005150855
TLJ25,0.010955822
TLJ26,-0.009795125
TLJ27,0.014434069
TLJ28,0.003969275
TLJ31,0.011165538
TLJ32,0.008485188
TLJ34,0.011433322
TLJ35,0.011420488
TLJ36,0.018356876
TLJ37,0.015957546
TLJ41,-0.000243645
TLJ43,-0.008790007
TLJ44,-0.005319721
TLJ45,0.004001317
TLJ46,0.005272009
TLK11,-0.001112834
TLK12,0.006793783
TLK13,0.00328301
TLK14,0.004472399
TLK15,0.00821628
TLK23,0.003491694
TLK24,0.002515817
TLK25,-0.000809398
TLK30,0.013372253
TLK41,-0.00179208
TLK42,-0.005042549
TLK43,0.006062473
TLL11,0.005147057
TLL12,-0.006292444
TLL13,0.007549166
TLL14,0.006857639
TLL15,0.006705226
TLL16,0.004781392
TLL17,0.003185489
TLL18,-0.002862166
TLL21,0.011876851
TLL22,0.004390001
TLL23,0.015569103
TLL24,0.007256503
TLM50,0.000961766
TLM61,0.019754801
TLM62,0.010174442
TLM63,0.006084225
TLM64,-0.002077487
TLM65,5.94E-05
TLM66,0.013683408
TLM71,0.007851967
TLM72,0.003934286
TLM73,0.012428299
TLM75,0.012766637
TLM76,-0.004829113
TLM77,-0.00029274
TLM78,0.028811891
TLM81,0.008705023
TLM82,0.012663729
TLM83,0.010221489
TLM84,0.018096506
TLM91,0.005892799
TLM92,0.002456879
TLM93,0.004518218
TLM94,0.003266309
TLM95,0.002526792
TLN06,0.007989575
TLN07,0.012145554
TLN08,0.002873951
TLN09,0.017997051
TLN0A,0.013712848
TLN0B,0.004435587
TLN0C,0.002978135
TLN0D,-0.000658333
TLN0E,0.019874064
TLN0F,-0.015803579
TLN0G,0.017688184
