time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,english_devolved_area_name,english_devolved_area_code,estab_size,sector,single_or_multi_site,estab_type,ssv_sum,new_technology_training_inc
2022,Calendar year,English devolved area,England,E92000001,East of England,E12000006,Cambridgeshire and Peterborough,E47000008,Total,Total,Total,Total,7075.28786205945,44.2754945922223
2022,Calendar year,English devolved area,England,E92000001,North East,E12000001,North East,E47000010,Total,Total,Total,Total,5813.783393372,42.9690244562343
2022,Calendar year,English devolved area,England,E92000001,North East,E12000001,North of Tyne,E47000011,Total,Total,Total,Total,7253.32070057181,43.7250119586629
2022,Calendar year,English devolved area,England,E92000001,North East,E12000001,Tees Valley,E47000006,Total,Total,Total,Total,3201.01341433817,43.0499021641585
2022,Calendar year,English devolved area,England,E92000001,North West,E12000002,Greater Manchester,E47000001,Total,Total,Total,Total,34655.6429094507,47.0353201002153
2022,Calendar year,English devolved area,England,E92000001,North West,E12000002,Liverpool City Region,E47000004,Total,Total,Total,Total,11915.4920526964,48.9409348411972
2022,Calendar year,English devolved area,England,E92000001,South West,E12000009,West of England,E47000009,Total,Total,Total,Total,11255.1215938284,47.6481362720552
2022,Calendar year,English devolved area,England,E92000001,West Midlands,E12000005,West Midlands,E47000007,Total,Total,Total,Total,16971.572359509,44.1634653381101
2022,Calendar year,English devolved area,England,E92000001,Yorkshire and The Humber,E12000003,Sheffield City Region,E47000002,Total,Total,Total,Total,9686.55881573558,41.4128681225477
2022,Calendar year,English devolved area,England,E92000001,Yorkshire and The Humber,E12000003,West Yorkshire,E47000003,Total,Total,Total,Total,15451.5798690504,42.081616797136
